[{'label': 'others', 'score': 0.8965842127799988}]
[{'label': 'others', 'score': 0.9267788529396057}]
[{'label': 'others', 'score': 0.9260792136192322}]
[{'label': 'others', 'score': 0.8151537775993347}]
[{'label': 'anger', 'score': 0.7201527953147888}]
[{'label': 'others', 'score': 0.8416390419006348}]
[{'label': 'others', 'score': 0.3432953357696533}]
[{'label': 'others', 'score': 0.9222613573074341}]
[{'label': 'others', 'score': 0.8922673463821411}]
[{'label': 'others', 'score': 0.6580623388290405}]
[{'label': 'others', 'score': 0.849337637424469}]
[{'label': 'others', 'score': 0.8975704312324524}]
[{'label': 'joy', 'score': 0.624789834022522}]
[{'label': 'others', 'score': 0.6721161603927612}]
[{'label': 'anger', 'score': 0.7408230304718018}]
[{'label': 'others', 'score': 0.6669893264770508}]
[{'label': 'anger', 'score': 0.6477490663528442}]
[{'label': 'others', 'score': 0.890999436378479}]
[{'label': 'anger', 'score': 0.6478997468948364}]
[{'label': 'others', 'score': 0.9179824590682983}]
[{'label': 'anger', 'score': 0.6462142467498779}]
[{'label': 'sadness', 'score': 0.9324813485145569}]
[{'label': 'others', 'score': 0.9161866903305054}]
[{'label': 'anger', 'score': 0.5133241415023804}]
[{'label': 'others', 'score': 0.7287089228630066}]
[{'label': 'anger', 'score': 0.4567348062992096}]
[{'label': 'others', 'score': 0.7662385702133179}]
[{'label': 'others', 'score': 0.7847633957862854}]
[{'label': 'others', 'score': 0.23104897141456604}]
[{'label': 'anger', 'score': 0.7570145130157471}]
[{'label': 'others', 'score': 0.70583575963974}]
[{'label': 'anger', 'score': 0.47187894582748413}]
[{'label': 'others', 'score': 0.88462233543396}]
[{'label': 'others', 'score': 0.9193142056465149}]
[{'label': 'anger', 'score': 0.7427479028701782}]
[{'label': 'anger', 'score': 0.3915623128414154}]
[{'label': 'others', 'score': 0.4753026068210602}]
[{'label': 'anger', 'score': 0.3374764621257782}]
[{'label': 'anger', 'score': 0.7060176730155945}]
[{'label': 'others', 'score': 0.6372032165527344}]
[{'label': 'others', 'score': 0.8396739363670349}]
[{'label': 'others', 'score': 0.9215039610862732}]
[{'label': 'others', 'score': 0.8840895891189575}]
[{'label': 'others', 'score': 0.6387702226638794}]
[{'label': 'joy', 'score': 0.7610015869140625}]
[{'label': 'joy', 'score': 0.6630173921585083}]
[{'label': 'others', 'score': 0.5382632613182068}]
[{'label': 'anger', 'score': 0.6882196664810181}]
[{'label': 'others', 'score': 0.9063894152641296}]
[{'label': 'anger', 'score': 0.5021780133247375}]
[{'label': 'anger', 'score': 0.6328039765357971}]
[{'label': 'others', 'score': 0.7996524572372437}]
[{'label': 'others', 'score': 0.8668042421340942}]
[{'label': 'anger', 'score': 0.7971064448356628}]
[{'label': 'others', 'score': 0.6006224751472473}]
[{'label': 'anger', 'score': 0.779796302318573}]
[{'label': 'anger', 'score': 0.7129903435707092}]
[{'label': 'others', 'score': 0.9236350655555725}]
[{'label': 'others', 'score': 0.5864238142967224}]
[{'label': 'others', 'score': 0.5782263278961182}]
[{'label': 'others', 'score': 0.8462162017822266}]
[{'label': 'anger', 'score': 0.6955888271331787}]
[{'label': 'anger', 'score': 0.6728132367134094}]
[{'label': 'anger', 'score': 0.8093063235282898}]
[{'label': 'others', 'score': 0.43618541955947876}]
[{'label': 'sadness', 'score': 0.5503764748573303}]
[{'label': 'others', 'score': 0.399294376373291}]
[{'label': 'anger', 'score': 0.7448463439941406}]
[{'label': 'anger', 'score': 0.6141186356544495}]
[{'label': 'others', 'score': 0.6780742406845093}]
[{'label': 'others', 'score': 0.48470190167427063}]
[{'label': 'others', 'score': 0.8989467620849609}]
[{'label': 'others', 'score': 0.5911768078804016}]
[{'label': 'anger', 'score': 0.762283205986023}]
[{'label': 'others', 'score': 0.9155815839767456}]
[{'label': 'joy', 'score': 0.4616759121417999}]
[{'label': 'others', 'score': 0.7036851644515991}]
[{'label': 'others', 'score': 0.41770514845848083}]
[{'label': 'others', 'score': 0.8405667543411255}]
[{'label': 'others', 'score': 0.7899158596992493}]
[{'label': 'anger', 'score': 0.5874493718147278}]
[{'label': 'others', 'score': 0.8745460510253906}]
[{'label': 'anger', 'score': 0.6315158009529114}]
[{'label': 'anger', 'score': 0.7667047381401062}]
[{'label': 'anger', 'score': 0.4964962601661682}]
[{'label': 'anger', 'score': 0.5154979825019836}]
[{'label': 'others', 'score': 0.7198092341423035}]
[{'label': 'others', 'score': 0.8867108225822449}]
[{'label': 'others', 'score': 0.8041568994522095}]
[{'label': 'others', 'score': 0.5266764163970947}]
[{'label': 'others', 'score': 0.9031023383140564}]
[{'label': 'others', 'score': 0.9116178154945374}]
[{'label': 'others', 'score': 0.9089957475662231}]
[{'label': 'anger', 'score': 0.4731496274471283}]
[{'label': 'others', 'score': 0.8311812877655029}]
[{'label': 'others', 'score': 0.4744388163089752}]
[{'label': 'anger', 'score': 0.7531972527503967}]
[{'label': 'others', 'score': 0.8823056221008301}]
[{'label': 'anger', 'score': 0.6835973262786865}]
[{'label': 'others', 'score': 0.8846499919891357}]
[{'label': 'others', 'score': 0.6662731766700745}]
